LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
30139-0,Hydroxyproline.free,PrThr,24H,Urine,Ord,,CHEM,2.56,ACTIVE,1,Both,,,"Hydroxyproline Free [Presence] in 24 hour Urine",,2.04,false,Hydroxyproline.free:PrThr:24H:Urine:Ord:
32022-6,Hydroxyproline.free,SCnc,24H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,umol/L,"Hydroxyproline Free [Moles/volume] in 24 hour Urine",umol/L,2.07,false,Hydroxyproline.free:SCnc:24H:Urine:Qn:
14784-3,Hydroxyproline.free,SRat,24H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"umol/24 H","Hydroxyproline Free [Moles/time] in 24 hour Urine",umol/(24.h),1.0k,false,Hydroxyproline.free:SRat:24H:Urine:Qn:
104657-2,"Sialate free and total panel",-,Pt,Urine,-,,PANEL.CHEM,2.78,ACTIVE,1,Order,,,"Sialate free and total panel - Urine",,2.78,true,"Sialate free and total panel:-:Pt:Urine:-:"
51740-9,6-Monoacetylmorphine.free,MCnc,Pt,Urine,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"6-monoacetylmorphine free [Mass/volume] in Urine",ng/mL,2.24,false,6-Monoacetylmorphine.free:MCnc:Pt:Urine:Qn:
53772-0,"Beta globulin",PrThr,Pt,Urine,Ord,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,,"Beta globulin [Presence] in Urine by Electrophoresis",,2.26,false,"Beta globulin:PrThr:Pt:Urine:Ord:Electrophoresis"
51955-3,Dihydrocodeine.free+Hydrocodol.free,MCnc,Pt,Urine,Qn,,DRUG/TOX,2.70,ACTIVE,1,Both,,ng/mL,"Dihydrocodeine Free+Hydrocodol Free [Mass/volume] in Urine",ng/mL,2.24,false,Dihydrocodeine.free+Hydrocodol.free:MCnc:Pt:Urine:Qn:
13881-8,Deoxypyridinoline.free/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"nmol/mmol creatinine","Deoxypyridinoline Free/Creatinine [Molar ratio] in Urine",nmol/mmol{creat},1.0k,false,Deoxypyridinoline.free/Creatinine:SRto:Pt:Urine:Qn:
74890-5,Inositol.free/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.48,ACTIVE,1,Both,,"mmol/mol creatinine","Inositol Free/Creatinine [Molar ratio] in Urine",mmol/mol{creat},2.48,false,Inositol.free/Creatinine:SRto:Pt:Urine:Qn:
19601-4,Morphine.free,PrThr,Pt,Urine,Ord,Screen,DRUG/TOX,2.56,ACTIVE,1,Both,,,"Morphine Free [Presence] in Urine by Screen method",,1.0l,false,Morphine.free:PrThr:Pt:Urine:Ord:Screen
30172-1,Cortisol.free/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"nmol/mol creatinine","Cortisol Free/Creatinine [Molar ratio] in Urine",nmol/mol{creat},2.04,false,Cortisol.free/Creatinine:SRto:Pt:Urine:Qn:
13991-5,Prealbumin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,%,"Prealbumin/Protein.total in Urine by Electrophoresis",%,1.0k,false,Prealbumin/Protein.total:MFr:Pt:Urine:Qn:Electrophoresis
72578-8,Prealbumin/Protein.total,MFr.DF,Pt,Urine,Qn,Electrophoresis,CHEM,2.42,ACTIVE,1,Observation,,,"Prealbumin/Protein.total [Pure mass fraction] in Urine by Electrophoresis",,2.42,false,Prealbumin/Protein.total:MFr.DF:Pt:Urine:Qn:Electrophoresis
94715-0,"Gamma globulin",MRat,24H,Urine,Qn,Electrophoresis,CHEM,2.68,ACTIVE,1,Both,,"mg/24 H","Gamma globulin [Mass/time] in 24 hour Urine by Electrophoresis",mg/(24.h),2.68,false,"Gamma globulin:MRat:24H:Urine:Qn:Electrophoresis"
55845-2,Cortisol.free,MCnc,24H,Urine,Qn,RIA,CHEM,2.70,ACTIVE,1,Both,,ug/L,"Cortisol Free [Mass/volume] in 24 hour Urine by Radioimmunoassay (RIA)",ug/L,2.29,false,Cortisol.free:MCnc:24H:Urine:Qn:RIA
25882-2,Cortisol.free,SCnc,24H,Urine,Qn,RIA,CHEM,2.42,ACTIVE,1,Both,,nmol/L,"Cortisol Free [Moles/volume] in 24 hour Urine by Radioimmunoassay (RIA)",nmol/L,2.00,false,Cortisol.free:SCnc:24H:Urine:Qn:RIA
25884-8,Cortisol.free,SRat,24H,Urine,Qn,RIA,CHEM,2.42,ACTIVE,1,Both,,"nmol/24 H","Cortisol Free [Moles/time] in 24 hour Urine by Radioimmunoassay (RIA)",nmol/(24.h),2.00,false,Cortisol.free:SRat:24H:Urine:Qn:RIA
55844-5,Cortisol.free,MRat,24H,Urine,Qn,RIA,CHEM,2.70,ACTIVE,1,Both,,"ug/24 H","Cortisol Free [Mass/time] in 24 hour Urine by Radioimmunoassay (RIA)",ug/(24.h),2.29,false,Cortisol.free:MRat:24H:Urine:Qn:RIA
49849-3,Hydroxylysine.free/Creatinine,SRto,24H,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,"mmol/mol creatinine","Hydroxylysine.free/Creatinine [Molar ratio] in 24 hour Urine",mmol/mol{creat},2.22,false,Hydroxylysine.free/Creatinine:SRto:24H:Urine:Qn:
111492-5,"Gamma globulin",MCnc,24H,Urine,Qn,Electrophoresis,CHEM,2.82,ACTIVE,1,Both,,g/L,"Gamma globulin [Mass/volume] in 24 hour Urine by Electrophoresis",g/L,2.82,false,"Gamma globulin:MCnc:24H:Urine:Qn:Electrophoresis"
77343-2,"Gamma globulin",MCnc,XXX,Urine,Qn,Electrophoresis,CHEM,2.73,ACTIVE,1,Observation,,mg/dl,"Gamma globulin [Mass/volume] by Electrophoresis in Urine collected for unspecified duration",mg/dL,2.52,false,"Gamma globulin:MCnc:XXX:Urine:Qn:Electrophoresis"
58800-4,"Protein fractions.oligoclonal bands",Imp,24H,Urine,Nom,"Isoelectric focusing",CHEM,2.54,ACTIVE,1,Observation,,,"Oligoclonal bands [Interpretation] in 24 hour Urine by Isoelectric focusing",,2.32,false,"Protein fractions.oligoclonal bands:Imp:24H:Urine:Nom:Isoelectric focusing"
