LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
812-8,Leukocytes,NCnc,Pt,Semen,Qn,"Manual count",FERT,2.73,ACTIVE,1,Observation,,10*3/uL,"Leukocytes [#/volume] in Semen by Manual count",10*3/uL,1.0,false,"Leukocytes:NCnc:Pt:Semen:Qn:Manual count"
66145-4,"Leukocytes other",NCnc,Pt,Bld^Fetus,Qn,"Manual count",HEM/BC,2.70,ACTIVE,1,Both,,10*9/L,"Leukocytes other [#/volume] in Blood from Fetus by Manual count",10*3/uL,2.38,false,"Leukocytes other:NCnc:Pt:Bld^Fetus:Qn:Manual count"
34999-3,"Polymorphonuclear cells/100 leukocytes",NFr,Pt,Bld,Qn,,HEM/BC,2.79,DEPRECATED,1,Observation,,%,"Deprecated Polymorphonuclear cells/100 leukocytes in Blood",%,2.11,false,"Polymorphonuclear cells/100 leukocytes:NFr:Pt:Bld:Qn:"
28544-5,"Mesothelial cells/Leukocytes",NFr,Pt,"Body fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Mesothelial cells/Leukocytes in Body fluid",%,2.00,false,"Mesothelial cells/Leukocytes:NFr:Pt:Body fld:Qn:"
30429-5,"Mesothelial cells/Leukocytes",NFr,Pt,CSF,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Mesothelial cells/Leukocytes in Cerebral spinal fluid",%,2.04,false,"Mesothelial cells/Leukocytes:NFr:Pt:CSF:Qn:"
33365-8,"Mesothelial cells/Leukocytes",NFr,Pt,"Synv fld",Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Mesothelial cells/Leukocytes in Synovial fluid",%,2.09,false,"Mesothelial cells/Leukocytes:NFr:Pt:Synv fld:Qn:"
9840-0,Cells.CD11+CD20+,NCnc,Pt,WBC,Qn,,CELLMARK,2.42,ACTIVE,1,Observation,,/uL,"CD11+CD20+ cells [#/volume] in Leukocytes",/uL,1.0i,false,Cells.CD11+CD20+:NCnc:Pt:WBC:Qn:
26446-5,Blasts/Leukocytes,NFr,Pt,Bld,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Blasts/Leukocytes in Blood",%,2.00,false,Blasts/Leukocytes:NFr:Pt:Bld:Qn:
34923-3,Monoblasts/Leukocytes,NFr,Pt,Bld,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Monoblasts/Leukocytes in Blood",%,2.11,false,Monoblasts/Leukocytes:NFr:Pt:Bld:Qn:
34922-5,Lymphoblasts/Leukocytes,NFr,Pt,Bld,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Lymphoblasts/Leukocytes in Blood",%,2.11,false,Lymphoblasts/Leukocytes:NFr:Pt:Bld:Qn:
26466-3,Leukocytes,NCnc,Pt,"Body fld",Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,/uL,"Leukocytes [#/volume] in Body fluid",10*3/uL,2.00,false,"Leukocytes:NCnc:Pt:Body fld:Qn:"
26465-5,Leukocytes,NCnc,Pt,CSF,Qn,,HEM/BC,2.73,ACTIVE,1,Observation,,10*6/L,"Leukocytes [#/volume] in Cerebral spinal fluid",/uL,2.00,false,Leukocytes:NCnc:Pt:CSF:Qn:
49928-5,Leukocytes,NCnc,Pt,"Dial fld prt",Qn,,HEM/BC,2.73,ACTIVE,1,Both,,/L,"Leukocytes [#/volume] in Peritoneal dialysis fluid",10*3/uL,2.22,false,"Leukocytes:NCnc:Pt:Dial fld prt:Qn:"
67830-0,"Leukocytes other",NCnc,Pt,"Pericard fld",Qn,,HEM/BC,2.70,ACTIVE,1,Observation,,10*6/L,"Leukocytes other [#/volume] in Pericardial fluid",/uL,2.38,false,"Leukocytes other:NCnc:Pt:Pericard fld:Qn:"
35054-6,"Leukocytes other",NCnc,Pt,"Periton fld",Qn,,HEM/BC,2.44,ACTIVE,1,Observation,,10*3/uL,"Leukocytes other [#/volume] in Peritoneal fluid",10*3/uL,2.11,false,"Leukocytes other:NCnc:Pt:Periton fld:Qn:"
35052-0,"Leukocytes other",NCnc,Pt,"Plr fld",Qn,,HEM/BC,2.44,ACTIVE,1,Observation,,10*3/uL,"Leukocytes other [#/volume] in Pleural fluid",10*3/uL,2.11,false,"Leukocytes other:NCnc:Pt:Plr fld:Qn:"
50342-5,"Ependymal+Choroid plexus cells/Leukocytes",Ratio,Pt,CSF,Qn,,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Ependymal+Choroid plexus cells/Leukocytes [Ratio] in Cerebral spinal fluid",%,2.22,false,"Ependymal+Choroid plexus cells/Leukocytes:Ratio:Pt:CSF:Qn:"
35477-9,"Ciliated columnar lining cells/Leukocytes",NRto,Pt,"Body fld",Qn,,HEM/BC,2.79,ACTIVE,1,Both,,"/100 WBC","Ciliated columnar lining cells/Leukocytes [# Ratio] in Body fluid",/100{WBCs},2.13,false,"Ciliated columnar lining cells/Leukocytes:NRto:Pt:Body fld:Qn:"
40541-5,"Plasma cells/Leukocytes",NFr,Pt,CSF,Qn,Microscopy,HEM/BC,2.79,ACTIVE,1,Observation,,%,"Plasma cells/Leukocytes in Cerebral spinal fluid by Microscopy",%,2.15,false,"Plasma cells/Leukocytes:NFr:Pt:CSF:Qn:Microscopy"
32014-3,Eosinophils/Leukocytes,NFr,Pt,Urine,Qn,"Manual count",UA,2.79,ACTIVE,1,Both,,%,"Eosinophils/Leukocytes in Urine by Manual count",%,2.07,false,"Eosinophils/Leukocytes:NFr:Pt:Urine:Qn:Manual count"
31995-4,Basophils/Leukocytes,NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Basophils/Leukocytes in Pleural fluid by Manual count",%,2.07,false,"Basophils/Leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
71595-3,Basophils/Leukocytes,NFr.DF,Pt,Bronchial,Qn,"Manual count",HEM/BC,2.42,ACTIVE,1,Observation,,,"Basophils/Leukocytes [Pure number fraction] in Bronchial specimen by Manual count",,2.42,false,"Basophils/Leukocytes:NFr.DF:Pt:Bronchial:Qn:Manual count"
95214-3,Blasts/Leukocytes,NFr,Pt,"^Stem cell product",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Blasts/Leukocytes in Stem cell product by Manual count",%,2.68,false,"Blasts/Leukocytes:NFr:Pt:^Stem cell product:Qn:Manual count"
53516-1,Basophils/Leukocytes,NFr,Pt,"Dial fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Both,,%,"Basophils/Leukocytes in Dialysis fluid by Manual count",%,2.26,false,"Basophils/Leukocytes:NFr:Pt:Dial fld:Qn:Manual count"
9727-9,Eosinophils/Leukocytes,NFr,Pt,Nose,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Both,,%,"Eosinophils/Leukocytes in Nose by Manual count",%,1.0i,false,"Eosinophils/Leukocytes:NFr:Pt:Nose:Qn:Manual count"
10327-5,Eosinophils/Leukocytes,NFr,Pt,Sputum,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Eosinophils/Leukocytes in Sputum by Manual count",%,1.0i,false,"Eosinophils/Leukocytes:NFr:Pt:Sputum:Qn:Manual count"
40543-1,"Leukocytes other/Leukocytes",NFr,Pt,Bronchial,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Leukocytes other/Leukocytes in Bronchial specimen by Manual count",%,2.15,false,"Leukocytes other/Leukocytes:NFr:Pt:Bronchial:Qn:Manual count"
40521-7,Monocytes/Leukocytes,NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Monocytes/Leukocytes in Pleural fluid by Manual count",%,2.15,false,"Monocytes/Leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
95843-9,Neutrophils/Leukocytes,NFr,Pt,Sputum,Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Neutrophils/Leukocytes in Sputum by Manual count",%,2.69,false,"Neutrophils/Leukocytes:NFr:Pt:Sputum:Qn:Manual count"
14379-2,Granulocytes/Leukocytes,NFr,Pt,"Gast fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Granulocytes/Leukocytes in Gastric fluid by Manual count",%,1.0k,false,"Granulocytes/Leukocytes:NFr:Pt:Gast fld:Qn:Manual count"
14374-3,Granulocytes/Leukocytes,NFr,Pt,"Plr fld",Qn,"Manual count",HEM/BC,2.79,ACTIVE,1,Observation,,%,"Granulocytes/Leukocytes in Pleural fluid by Manual count",%,1.0k,false,"Granulocytes/Leukocytes:NFr:Pt:Plr fld:Qn:Manual count"
