LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
17759-2,"Urea nitrogen^post dialysis",MCnc,Pt,BldA,Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Arterial blood --post dialysis",mg/L,1.0l,false,"Urea nitrogen^post dialysis:MCnc:Pt:BldA:Qn:"
48629-0,"Urea nitrogen^post dialysis",MCnc,Pt,BldV,Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Venous blood --post dialysis",mg/L,2.21,false,"Urea nitrogen^post dialysis:MCnc:Pt:BldV:Qn:"
14938-5,"Urea nitrogen",SCnc,Pt,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in Urine",mmol/L,1.0k,false,"Urea nitrogen:SCnc:Pt:Urine:Qn:"
108689-1,"Urea nitrogen",{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Urea nitrogen [Measurement] in Serum or Plasma",,2.81,false,"Urea nitrogen:{Measurement}:-:Ser/Plas:-:"
48639-9,"Urea nitrogen^post dialysis",MCnc,Pt,BldP,Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Peripheral blood --post dialysis",mg/L,2.21,false,"Urea nitrogen^post dialysis:MCnc:Pt:BldP:Qn:"
5918-8,"Urea nitrogen",MCnc,Pt,"Dial fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Dialysis fluid",mg/dL,1.0b,false,"Urea nitrogen:MCnc:Pt:Dial fld:Qn:"
14397-4,"Urea nitrogen",MCnc,Pt,"Gast fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Gastric fluid",mg/dL,1.0k,false,"Urea nitrogen:MCnc:Pt:Gast fld:Qn:"
12265-5,"Urea nitrogen",MCnc,Pt,"Periton fld",Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Peritoneal fluid",mg/dL,1.0j-a,false,"Urea nitrogen:MCnc:Pt:Periton fld:Qn:"
35241-9,"Urea nitrogen",MSCnc,Pt,"Dial fld",Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Urea nitrogen [Mass or Moles/volume] in Dialysis fluid",,2.11,false,"Urea nitrogen:MSCnc:Pt:Dial fld:Qn:"
14394-1,"Urea nitrogen",MCnc,Pt,"Plr fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Pleural fluid",mg/dL,1.0k,false,"Urea nitrogen:MCnc:Pt:Plr fld:Qn:"
17758-4,"Urea nitrogen",MCnc,Pt,"Vitr fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Vitreous fluid",mg/dL,1.0l,false,"Urea nitrogen:MCnc:Pt:Vitr fld:Qn:"
3095-7,"Urea nitrogen",MCnc,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Urine",mg/dL,1.0,false,"Urea nitrogen:MCnc:Pt:Urine:Qn:"
35235-1,"Urea nitrogen",MSCnc,Pt,Urine,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Urea nitrogen [Mass or Moles/volume] in Urine",,2.11,false,"Urea nitrogen:MSCnc:Pt:Urine:Qn:"
24465-7,"Urea nitrogen",MRat,12H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"g/12 H","Urea nitrogen [Mass/time] in 12 hour Urine",g/(12.h),1.0o,false,"Urea nitrogen:MRat:12H:Urine:Qn:"
17757-6,"Urea nitrogen",MCnc,Pt,"Dial fld prt",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Peritoneal dialysis fluid",mg/dL,1.0l,false,"Urea nitrogen:MCnc:Pt:Dial fld prt:Qn:"
14393-3,"Urea nitrogen",MCnc,Pt,"Amnio fld",Qn,,CHEM,2.34,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Amniotic fluid",mg/dL,1.0k,false,"Urea nitrogen:MCnc:Pt:Amnio fld:Qn:"
14000-4,"Urea nitrogen",MCnc,Pt,CSF,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Cerebral spinal fluid",mg/dL,1.0k,false,"Urea nitrogen:MCnc:Pt:CSF:Qn:"
14395-8,"Urea nitrogen",MCnc,Pt,"Periton fld",Qn,,CHEM,2.36,DEPRECATED,1,,,,"Deprecated Urea nitrogen [Mass/volume] in Peritoneal fluid",,1.0k,false,"Urea nitrogen:MCnc:Pt:Periton fld:Qn:"
14936-9,"Urea nitrogen",SCnc,Pt,"Dial fld prt",Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in Peritoneal dialysis fluid",mmol/L,1.0k,false,"Urea nitrogen:SCnc:Pt:Dial fld prt:Qn:"
