LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
59000-0,Calcium,MRat,18H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mg/18 H","Calcium [Mass/time] in 18 hour Urine",mg/(18.h),2.32,false,Calcium:MRat:18H:Urine:Qn:
51610-4,Calcium,SRat,12H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mmol/12 H","Calcium [Moles/time] in 12 hour Urine",mmol/(12.h),2.24,false,Calcium:SRat:12H:Urine:Qn:
32541-5,Calcium,Sub,XXX,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mmol,"Calcium [Molar amount] in Urine collected for unspecified duration",mmol,2.08,false,Calcium:Sub:XXX:Urine:Qn:
25873-1,"Calcium^pre 500 mg calcium PO",SCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --pre 500 mg calcium PO",mmol/L,2.00,false,"Calcium^pre 500 mg calcium PO:SCnc:Pt:Urine:Qn:"
94839-8,Calcium,MCnc,Pt,Urine^Fetus,Qn,,CHEM,2.68,ACTIVE,1,Observation,,mg/dl,"Calcium [Mass/volume] in Urine from Fetus",mg/dL,2.68,false,Calcium:MCnc:Pt:Urine^Fetus:Qn:
57334-5,Calcium,MCnc,2H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 2 hour Urine",mg/dL,2.29,false,Calcium:MCnc:2H:Urine:Qn:
27091-8,Calcium,MRat,4H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mg/24 H","Calcium [Mass/time] in 4 hour Urine",mg/(24.h),2.00,false,Calcium:MRat:4H:Urine:Qn:
18488-7,Calcium,MCnc,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/dL; mg/L","Calcium [Mass/volume] in 24 hour Urine",mg/L,1.0l,false,Calcium:MCnc:24H:Urine:Qn:
12511-2,Calcium,MCnc,4H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Calcium [Mass/volume] in 4 hour Urine",mg/dL,1.0j-a,false,Calcium:MCnc:4H:Urine:Qn:
6874-2,Calcium,MRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/24 H","Calcium [Mass/time] in 24 hour Urine",mg/(24.h),1.0h(2),false,Calcium:MRat:24H:Urine:Qn:
16518-3,Calcium,MRat,2H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/2 H","Calcium [Mass/time] in 2 hour Urine",mg/(2.h),1.0l,false,Calcium:MRat:2H:Urine:Qn:
35248-4,Calcium,MSCnc,24H,Urine,Qn,,CHEM,2.42,DISCOURAGED,1,Both,,,"Calcium [Mass or Moles/volume] in 24 hour Urine",,2.11,false,Calcium:MSCnc:24H:Urine:Qn:
25362-5,Calcium,SCnc,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Calcium [Moles/volume] in 24 hour Urine",mmol/L,2.00,false,Calcium:SCnc:24H:Urine:Qn:
14637-3,Calcium,SRat,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mmol/24 H","Calcium [Moles/time] in 24 hour Urine",mmol/(24.h),1.0k,false,Calcium:SRat:24H:Urine:Qn:
25584-4,"Calcium^5H post 500 mg calcium PO",SCnc,Pt,Urine,Qn,,CHAL,2.70,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --5 hours post 500 mg calcium PO",mmol/L,2.00,false,"Calcium^5H post 500 mg calcium PO:SCnc:Pt:Urine:Qn:"
9321-1,Calcium/Creatinine,MRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in Urine",mg/g{creat},1.0i,false,Calcium/Creatinine:MRto:Pt:Urine:Qn:
24518-3,Calcium/Creatinine,SRto,Pt,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mol/mol creatinine","Calcium/Creatinine [Molar ratio] in Urine",mol/mol{creat},1.0o,false,Calcium/Creatinine:SRto:Pt:Urine:Qn:
44716-9,Creatinine/Calcium,MRto,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Both,,,"Creatinine/Calcium [Mass Ratio] in Urine",,2.17,false,Creatinine/Calcium:MRto:Pt:Urine:Qn:
53124-4,Calcium,SRat,1H,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,mmol/h,"Calcium [Moles/time] in 1 hour Urine",mmol/h,2.24,false,Calcium:SRat:1H:Urine:Qn:
99074-7,Calcium/Creatinine,MRto,Pt,Urine^Fetus,Qn,,CHEM,2.72,ACTIVE,1,Observation,,"mg/mg creatinine","Calcium/Creatinine [Mass Ratio] in Urine from Fetus",mg/mg{creat},2.72,false,Calcium/Creatinine:MRto:Pt:Urine^Fetus:Qn:
49937-6,Calcium/Oxalate,SRto,Pt,Urine,Qn,,CHEM,2.42,ACTIVE,1,Observation,,,"Calcium/Oxalate [Molar ratio] in Urine",,2.22,false,Calcium/Oxalate:SRto:Pt:Urine:Qn:
13717-4,Calcium/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.73,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in 24 hour Urine",mg/g{creat},1.0k,false,Calcium/Creatinine:MRto:24H:Urine:Qn:
50839-0,Calcium/Creatinine,SRto,24H,Urine,Qn,,CHEM,2.70,ACTIVE,1,Both,,"mmol/mol creatinine","Calcium/Creatinine [Molar ratio] in 24 hour Urine",mmol/mol{creat},2.22,false,Calcium/Creatinine:SRto:24H:Urine:Qn:
105053-3,"Calcium oxalate crystals",PrThr,Pt,"Urine sed",Ord,Microscopy,UA,2.78,ACTIVE,1,Both,,,"Calcium oxalate crystals [Presence] in Urine sediment by Microscopy",,2.78,false,"Calcium oxalate crystals:PrThr:Pt:Urine sed:Ord:Microscopy"
105896-5,"Calcium oxalate crystals",Naric,Pt,"Urine sed",Qn,,UA,2.78,ACTIVE,1,Both,,/[LPF],"Calcium oxalate crystals [#/area] in Urine sediment",/[LPF],2.78,false,"Calcium oxalate crystals:Naric:Pt:Urine sed:Qn:"
27037-1,Calcium/Creatinine,MRto,2H,Urine,Qn,,CHEM,2.44,ACTIVE,1,Both,,"mg/g creatinine","Calcium/Creatinine [Mass Ratio] in 2 hour Urine",mg/g{creat},2.00,false,Calcium/Creatinine:MRto:2H:Urine:Qn:
2003-2,Calcium,SCnc,Pt,Urine,Ord,,CHEM,2.36,DEPRECATED,1,,,,"Deprecated Calcium",,1.0,false,Calcium:SCnc:Pt:Urine:Ord:
16522-5,"Calcium^4th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --4th specimen post XXX challenge",mmol/L,1.0l,false,"Calcium^4th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
33792-3,"Calcium^6th specimen post XXX challenge",SCnc,Pt,Urine,Qn,,CHAL,2.34,ACTIVE,1,Observation,,mmol/L,"Calcium [Moles/volume] in Urine --6th specimen post XXX challenge",mmol/L,2.09,false,"Calcium^6th specimen post XXX challenge:SCnc:Pt:Urine:Qn:"
